x, sr_0, sr_1, sr_5, sr_10, sr_20, sr_30, sr_40
10.0, 1309, 1243, 1172, 1217, 1357, 1211, 1264
20.0, 1523, 1411, 1306, 1332, 1579, 1371, 1440
30.0, 1702, 1615, 1485, 1441, 1818, 1510, 1609
40.0, 1882, 1826, 1697, 1561, 2057, 1680, 1814
50.0, 2095, 2039, 1902, 1698, 2303, 1867, 2037
60.0, 2397, 2297, 2159, 1884, 2579, 2085, 2291
70.0, 2709, 2567, 2499, 2101, 2927, 2359, 2643
80.0, 3099, 2901, 3029, 2425, 3443, 2737, 3109
90.0, 3869, 3575, 4151, 3065, 4575, 3421, 4095
95.0, 5139, 4643, 6403, 3787, 6963, 4311, 6163
96.0, 5755, 5139, 7311, 4171, 7851, 4715, 7027
97.0, 6747, 6359, 8543, 4843, 8975, 5407, 8143
98.0, 8359, 7875, 10183, 6283, 10479, 6651, 9735
99.0, 10815, 10447, 13287, 8951, 13615, 9095, 12687
99.1, 11231, 10823, 13831, 9311, 14175, 9487, 13191
99.2, 11695, 11271, 14423, 9727, 14815, 9943, 13767
99.3, 12247, 11815, 15087, 10231, 15519, 10487, 14455
99.4, 12895, 12567, 15871, 10743, 16351, 11167, 15279
99.5, 13807, 13535, 16911, 11367, 17423, 12039, 16415
99.6, 15007, 14847, 18319, 12103, 18927, 13143, 17791
99.7, 16655, 16911, 20415, 13271, 21023, 14839, 19615
99.8, 19455, 20239, 24159, 15151, 24575, 17327, 22911
99.85, 21663, 22639, 27119, 16447, 27663, 19167, 25471
99.89, 24351, 25871, 30815, 18127, 31151, 21311, 28319
99.9, 25119, 26687, 32047, 18623, 32447, 22031, 29263
