x, y
20000, 1.0
21000, 0.7631229607539927
22000, 0.5734249721032967
23000, 0.42347902890797223
24000, 0.3066820026178275
25000, 0.21720617794361222
26000, 0.1499507895282056
27000, 0.10049355861780986
28000, 0.06504222973314074
29000, 0.04038610734061929
30000, 0.0238475925235623
31000, 0.013233719653374115
32000, 0.006787693060737882
33000, 0.003140423706806558
34000, 0.0012620658543943553
35000, 0.0004135537391679411
36000, 9.813824083770494e-05
37000, 1.2923554348998227e-05
38000, 4.038610734061988e-07
39000, 0.0
